Wall time,Relative time (s),Step,Value,Norm value
1586960155,0,1,3.144676208,1
1586960226,71,101,2.068503857,0.6577796
1586960292,137,201,1.51057744,0.480360247
1586960359,204,301,1.207670331,0.384036463
1586960425,270,401,0.821131706,0.261118047
1586960492,337,501,0.678377032,0.215722378
1586960559,404,601,0.502520919,0.159800528
1586960625,470,701,0.393462777,0.125120284
1586960692,537,801,0.331505835,0.105418116
1586960758,603,901,0.291316062,0.092637855
1586960833,678,1001,0.238933355,0.075980271
1586960899,744,1101,0.220464915,0.070107351
1586960966,811,1201,0.164021224,0.052158381
1586961033,878,1301,0.159840807,0.05082902
1586961099,944,1401,0.126691416,0.040287588
1586961166,1011,1501,0.096752688,0.030767139
1586961233,1078,1601,0.104414701,0.033203641
1586961299,1144,1701,0.082036003,0.026087264
1586961366,1211,1801,0.116566136,0.037067772
1586961433,1278,1901,0.090740331,0.028855222
1586961510,1355,2001,0.068448916,0.021766603
1586961578,1423,2101,0.071785316,0.022827571
1586961644,1489,2201,0.065315664,0.020770234
1586961711,1556,2301,0.075261585,0.023933017
1586961778,1623,2401,0.053229131,0.016926744
1586961844,1689,2501,0.048109576,0.015298739
1586961911,1756,2601,0.058781344,0.018692335
1586961978,1823,2701,0.060168885,0.019133569
1586962045,1890,2801,0.057865292,0.018401033
1586962111,1956,2901,0.058460899,0.018590435
1586962187,2032,3001,0.05836533,0.018560044
1586962254,2099,3101,0.046895452,0.014912648
1586962321,2166,3201,0.058518939,0.018608892
1586962387,2232,3301,0.049426571,0.015717539
1586962454,2299,3401,0.047184296,0.015004502
1586962520,2365,3501,0.049738944,0.015816872
1586962587,2432,3601,0.045069635,0.014332042
1586962654,2499,3701,0.052668106,0.016748341
1586962721,2566,3801,0.062559359,0.019893737
1586962787,2632,3901,0.062505975,0.019876762
1586962863,2708,4001,0.038809806,0.012341433
1586962930,2775,4101,0.036016565,0.011453186
1586962997,2842,4201,0.040741965,0.012955855
1586963064,2909,4301,0.035869751,0.0114065
1586963130,2975,4401,0.037355792,0.011879058
1586963197,3042,4501,0.040604465,0.012912127
1586963264,3109,4601,0.036447491,0.01159022
1586963330,3175,4701,0.049039643,0.015594496
1586963397,3242,4801,0.048781544,0.015512421
1586963464,3309,4901,0.025153238,0.007998674
1586963538,3383,5001,0.04565607,0.014518528
1586963605,3450,5101,0.028111968,0.008939544
1586963672,3517,5201,0.030724868,0.00977044
1586963738,3583,5301,0.040169407,0.012773783
1586963805,3650,5401,0.020047475,0.006375051
1586963871,3716,5501,0.029315721,0.009322333
1586963938,3783,5601,0.039064839,0.012422532
1586964005,3850,5701,0.041067809,0.013059472
1586964071,3916,5801,0.038965754,0.012391021
1586964138,3983,5901,0.029406177,0.009351099
1586964213,4058,6001,0.028613485,0.009099026
